Thumb,Index,Middle,Ring,Pinky,X,Y,Label
70,34,105,103,74,320,-1104,Ñ
72,36,105,109,74,320,-1112,Ñ
70,32,103,124,78,328,-1128,Ñ
70,35,105,105,81,336,-1120,Ñ
69,35,104,102,72,352,-1120,Ñ
69,33,104,101,63,352,-1136,Ñ
68,36,105,100,72,344,-1136,Ñ
69,36,104,104,81,312,-1104,Ñ
70,36,104,103,78,336,-1120,Ñ
69,32,104,103,74,328,-1112,Ñ
69,35,104,100,76,336,-1120,Ñ
68,33,103,102,67,352,-1136,Ñ
69,30,105,102,65,360,-1136,Ñ
69,34,105,104,78,352,-1128,Ñ
68,34,105,104,76,336,-1120,Ñ
69,31,105,103,72,344,-1128,Ñ
67,33,104,103,76,344,-1120,Ñ
67,31,102,101,65,328,-1120,Ñ
69,34,104,102,63,352,-1144,Ñ
69,35,104,104,74,344,-1120,Ñ
69,34,104,102,81,368,-1144,Ñ
68,32,104,104,78,336,-1128,Ñ
67,34,103,102,78,336,-1128,Ñ
68,31,103,136,67,360,-1144,Ñ
67,32,103,107,74,336,-1120,Ñ
68,33,104,104,74,360,-1136,Ñ
69,35,104,102,72,320,-1104,Ñ
68,33,103,102,72,336,-1144,Ñ
68,34,103,104,67,360,-1136,Ñ
68,33,103,101,65,328,-1120,Ñ
66,31,103,103,67,336,-1120,Ñ
68,33,103,105,72,320,-1112,Ñ
70,36,104,105,78,336,-1128,Ñ
69,32,104,108,74,360,-1136,Ñ
68,34,104,106,78,320,-1128,Ñ
68,32,103,103,74,376,-1136,Ñ
66,31,103,102,67,320,-1128,Ñ
68,30,102,102,74,328,-1120,Ñ
68,34,103,104,76,336,-1128,Ñ
69,34,104,102,72,336,-1112,Ñ
69,33,103,104,72,344,-1136,Ñ
68,33,103,111,76,352,-1136,Ñ
68,32,102,102,65,352,-1152,Ñ
67,31,101,102,65,328,-1120,Ñ
69,36,103,104,76,336,-1120,Ñ
67,36,103,102,78,328,-1136,Ñ
69,36,102,104,76,336,-1144,Ñ
67,35,103,102,74,352,-1136,Ñ
67,35,101,104,67,328,-1128,Ñ
67,35,102,103,72,328,-1120,Ñ
68,36,103,103,72,344,-1136,Ñ
68,36,103,102,74,328,-1120,Ñ
67,36,102,104,78,352,-1144,Ñ
67,33,102,104,76,368,-1136,Ñ
68,36,103,103,72,328,-1128,Ñ
66,34,102,101,65,328,-1128,Ñ
67,33,101,102,69,336,-1136,Ñ
68,36,103,104,76,328,-1112,Ñ
69,37,103,102,76,344,-1136,Ñ
67,36,104,103,74,336,-1128,Ñ
66,35,103,102,74,320,-1120,Ñ
66,33,102,101,65,328,-1136,Ñ
68,34,101,111,60,328,-1128,Ñ
68,36,103,113,78,336,-1136,Ñ
67,38,103,105,74,328,-1128,Ñ
66,35,103,105,74,336,-1136,Ñ
67,37,101,103,69,320,-1120,Ñ
67,35,102,102,60,344,-1152,Ñ
67,35,101,104,63,336,-1136,Ñ
68,36,103,107,72,320,-1136,Ñ
68,35,103,138,72,336,-1144,Ñ
68,37,103,106,74,304,-1136,Ñ
66,37,100,142,63,328,-1152,Ñ
68,36,102,107,63,336,-1144,Ñ
67,35,103,108,63,328,-1160,Ñ
67,36,105,112,67,328,-1152,Ñ
69,38,104,117,76,344,-1152,Ñ
68,36,104,116,74,280,-1168,Ñ
70,34,103,115,76,360,-1152,Ñ
69,35,103,113,72,320,-1136,Ñ
69,32,98,110,65,336,-1144,Ñ
70,32,97,110,67,320,-1144,Ñ
69,37,123,111,78,320,-1152,Ñ
69,37,148,111,72,320,-1136,Ñ
68,36,148,111,65,320,-1136,Ñ
67,36,144,109,65,320,-1144,Ñ
69,33,114,108,60,312,-1144,Ñ
68,37,114,109,69,304,-1136,Ñ
68,36,111,109,72,328,-1152,Ñ
69,37,150,110,74,336,-1144,Ñ
67,37,150,109,67,328,-1152,Ñ
69,35,147,108,72,328,-1144,Ñ
67,34,120,108,65,312,-1128,Ñ
66,33,115,108,67,344,-1152,Ñ
67,36,119,108,67,328,-1144,Ñ
68,36,144,109,69,336,-1144,Ñ
67,36,150,108,74,328,-1144,Ñ
67,37,132,109,67,320,-1136,Ñ
68,35,131,106,69,328,-1144,Ñ
67,34,104,107,65,336,-1144,Ñ
67,36,100,108,60,360,-1152,Ñ
68,36,101,109,74,304,-1136,Ñ
67,36,102,109,65,328,-1144,Ñ
67,36,101,106,69,336,-1152,Ñ
67,35,101,372,67,296,-1136,Ñ
67,35,120,368,65,320,-1160,Ñ
66,31,101,370,63,344,-1176,Ñ
68,36,101,361,74,280,-1152,Ñ
68,34,101,371,67,312,-1152,Ñ
66,36,101,108,69,312,-1152,Ñ
67,36,100,108,74,296,-1144,Ñ
67,35,99,106,65,312,-1160,Ñ
67,32,100,108,60,296,-1160,Ñ
67,36,100,108,69,304,-1160,Ñ
68,37,101,109,72,320,-1176,Ñ
68,36,99,108,69,304,-1152,Ñ
68,36,101,106,69,312,-1168,Ñ
67,36,100,107,69,296,-1152,Ñ
67,32,100,106,60,288,-1136,Ñ
66,33,101,106,67,296,-1152,Ñ
67,37,101,108,74,328,-1176,Ñ
66,38,101,108,65,296,-1160,Ñ
68,37,102,106,72,296,-1160,Ñ
66,37,105,106,72,312,-1152,Ñ
66,35,105,105,63,280,-1144,Ñ
66,34,109,106,69,296,-1160,Ñ
67,36,111,107,69,312,-1160,Ñ
68,38,110,108,72,296,-1160,Ñ
68,35,114,109,63,328,-1168,Ñ
67,36,115,106,65,304,-1160,Ñ
66,35,112,106,65,328,-1184,Ñ
66,34,111,108,60,296,-1208,Ñ
67,33,110,106,67,192,-1096,Ñ
67,38,111,129,74,192,-1120,Ñ
67,36,118,108,74,160,-1104,Ñ
66,36,119,108,69,232,-1232,Ñ
67,37,118,113,69,216,-1184,Ñ
65,32,117,105,63,216,-1168,Ñ
66,36,118,106,65,232,-1152,Ñ
67,36,114,109,72,248,-1192,Ñ
66,36,105,106,69,232,-1168,Ñ
66,37,104,106,65,232,-1184,Ñ
66,36,113,107,72,216,-1176,Ñ
66,34,117,105,63,240,-1176,Ñ
65,34,117,104,58,216,-1152,Ñ
66,36,118,106,69,216,-1168,Ñ
67,37,120,109,72,232,-1160,Ñ
66,36,119,105,63,232,-1176,Ñ
66,36,118,108,67,224,-1168,Ñ
67,36,117,109,65,248,-1168,Ñ
66,35,117,104,63,248,-1168,Ñ
65,33,117,109,60,248,-1176,Ñ
67,36,119,108,74,224,-1168,Ñ
66,38,118,108,65,224,-1160,Ñ
67,36,120,108,67,248,-1176,Ñ
67,34,124,106,67,264,-1184,Ñ
64,32,119,113,60,256,-1176,Ñ
65,33,120,106,63,248,-1176,Ñ
66,36,123,107,69,256,-1184,Ñ
67,36,126,108,72,256,-1176,Ñ
67,36,124,108,69,248,-1160,Ñ
67,36,122,106,63,256,-1176,Ñ
65,35,122,106,65,264,-1184,Ñ
65,31,119,104,58,248,-1168,Ñ
65,30,120,106,67,256,-1176,Ñ
66,35,124,109,69,240,-1168,Ñ
65,36,123,113,69,248,-1160,Ñ
66,32,122,117,60,232,-1144,Ñ
64,32,121,126,67,248,-1168,Ñ
65,31,119,105,60,264,-1176,Ñ
65,30,119,103,56,272,-1200,Ñ
66,32,121,109,67,240,-1176,Ñ
66,33,114,108,72,264,-1192,Ñ
67,33,99,106,69,248,-1168,Ñ
66,31,99,105,65,248,-1152,Ñ
65,35,100,104,65,248,-1160,Ñ
64,30,99,104,63,248,-1176,Ñ
66,31,99,110,63,240,-1160,Ñ
65,36,100,120,72,248,-1168,Ñ
66,32,100,115,69,256,-1176,Ñ
66,33,99,118,69,248,-1168,Ñ
67,33,98,115,63,248,-1176,Ñ
66,31,118,111,56,240,-1176,Ñ
64,32,119,117,63,264,-1176,Ñ
66,33,120,117,65,240,-1160,Ñ
66,36,121,117,67,248,-1152,Ñ
64,35,120,118,63,240,-1168,Ñ
65,34,119,117,65,240,-1168,Ñ
64,32,119,116,63,240,-1168,Ñ
65,33,118,114,60,240,-1160,Ñ
63,31,118,114,65,240,-1160,Ñ
65,35,121,115,72,264,-1184,Ñ
